Epoch 005 || Loss: 0.5235 | Time: 29.12 | Test Dice: 0.0000 
Epoch 006 || Loss: 0.5219 | Time: 29.31 | Test Dice: 0.0000 
Epoch 007 || Loss: 0.5205 | Time: 29.11 | Test Dice: 0.0000 
Epoch 008 || Loss: 0.5192 | Time: 29.20 | Test Dice: 0.0000 
Epoch 009 || Loss: 0.5179 | Time: 29.22 | Test Dice: 0.0000 
Epoch 010 || Loss: 0.5166 | Time: 29.24 | Test Dice: 0.0000 
Epoch 011 || Loss: 0.5153 | Time: 29.28 | Test Dice: 0.0000 
Epoch 012 || Loss: 0.5142 | Time: 29.10 | Test Dice: 0.0000 
Epoch 013 || Loss: 0.5131 | Time: 29.30 | Test Dice: 0.0000 
Epoch 014 || Loss: 0.5120 | Time: 29.37 | Test Dice: 0.0001 
Epoch 015 || Loss: 0.5110 | Time: 29.52 | Test Dice: 0.0000 
Epoch 001 || Loss: 0.6668 | Time: 21.60 | Test Dice: 0.0000 
Epoch 002 || Loss: 0.6502 | Time: 22.11 | Test Dice: 0.0000 
Epoch 003 || Loss: 0.6409 | Time: 26.81 | Test Dice: 0.0000 
Epoch 004 || Loss: 0.6342 | Time: 27.00 | Test Dice: 0.0000 
Epoch 005 || Loss: 0.6281 | Time: 27.00 | Test Dice: 0.0000 
Epoch 006 || Loss: 0.6226 | Time: 27.01 | Test Dice: 0.0000 
Epoch 007 || Loss: 0.6178 | Time: 26.98 | Test Dice: 0.0006 
Epoch 008 || Loss: 0.6137 | Time: 26.94 | Test Dice: 0.0111 
Epoch 009 || Loss: 0.6098 | Time: 27.03 | Test Dice: 0.0446 
Epoch 010 || Loss: 0.6064 | Time: 27.09 | Test Dice: 0.1182 
Epoch 011 || Loss: 0.6035 | Time: 27.07 | Test Dice: 0.2447 
Epoch 012 || Loss: 0.6011 | Time: 27.02 | Test Dice: 0.3909 
Epoch 013 || Loss: 0.5999 | Time: 27.03 | Test Dice: 0.4732 
Epoch 014 || Loss: 0.5987 | Time: 27.02 | Test Dice: 0.5129 
Epoch 015 || Loss: 0.5984 | Time: 27.18 | Test Dice: 0.5140 
Epoch 001 || Loss: 0.5719 | Time: 19.95 | Test Dice: 0.0000 
Epoch 002 || Loss: 0.5583 | Time: 19.50 | Test Dice: 0.0000 
Epoch 003 || Loss: 0.5507 | Time: 19.71 | Test Dice: 0.0000 
Epoch 004 || Loss: 0.5452 | Time: 19.67 | Test Dice: 0.0000 
Epoch 005 || Loss: 0.5405 | Time: 19.87 | Test Dice: 0.0000 
Epoch 006 || Loss: 0.5358 | Time: 19.94 | Test Dice: 0.0001 
Epoch 007 || Loss: 0.5315 | Time: 19.95 | Test Dice: 0.0043 
Epoch 008 || Loss: 0.5275 | Time: 20.26 | Test Dice: 0.0434 
Epoch 009 || Loss: 0.5241 | Time: 20.17 | Test Dice: 0.2058 
Epoch 010 || Loss: 0.5206 | Time: 20.17 | Test Dice: 0.4141 
Epoch 011 || Loss: 0.5184 | Time: 20.18 | Test Dice: 0.5667 
Epoch 012 || Loss: 0.5156 | Time: 20.29 | Test Dice: 0.5685 
Epoch 013 || Loss: 0.5133 | Time: 20.05 | Test Dice: 0.5285 
Epoch 014 || Loss: 0.5108 | Time: 19.93 | Test Dice: 0.5011 
Epoch 015 || Loss: 0.5088 | Time: 20.06 | Test Dice: 0.4898 
Epoch 001 || Loss: 0.7690 | Time: 20.50 | Test Dice: 0.0651 
Epoch 002 || Loss: 0.7465 | Time: 19.94 | Test Dice: 0.0651 
Epoch 003 || Loss: 0.7304 | Time: 19.91 | Test Dice: 0.0651 
Epoch 004 || Loss: 0.7188 | Time: 19.89 | Test Dice: 0.0651 
Epoch 005 || Loss: 0.7113 | Time: 20.07 | Test Dice: 0.0650 
Epoch 006 || Loss: 0.7030 | Time: 20.11 | Test Dice: 0.0642 
Epoch 007 || Loss: 0.6963 | Time: 20.02 | Test Dice: 0.0635 
Epoch 008 || Loss: 0.6902 | Time: 20.02 | Test Dice: 0.0637 
Epoch 009 || Loss: 0.6860 | Time: 19.85 | Test Dice: 0.0644 
Epoch 010 || Loss: 0.6815 | Time: 19.91 | Test Dice: 0.0650 
Epoch 011 || Loss: 0.6781 | Time: 20.00 | Test Dice: 0.0668 
Epoch 012 || Loss: 0.6742 | Time: 20.06 | Test Dice: 0.7162 
Epoch 013 || Loss: 0.6713 | Time: 20.10 | Test Dice: 0.7444 
Epoch 014 || Loss: 0.6667 | Time: 20.22 | Test Dice: 0.6696 
Epoch 015 || Loss: 0.6637 | Time: 20.02 | Test Dice: 0.6210 
Epoch 001 || Loss: 0.6710 | Time: 20.73 | Test Dice: 0.0001 
Epoch 002 || Loss: 0.6558 | Time: 20.14 | Test Dice: 0.0001 
Epoch 003 || Loss: 0.6423 | Time: 20.12 | Test Dice: 0.0019 
Epoch 004 || Loss: 0.6312 | Time: 19.85 | Test Dice: 0.0151 
Epoch 005 || Loss: 0.6214 | Time: 19.75 | Test Dice: 0.0367 
Epoch 006 || Loss: 0.6137 | Time: 19.85 | Test Dice: 0.1058 
Epoch 007 || Loss: 0.6072 | Time: 19.70 | Test Dice: 0.6341 
Epoch 008 || Loss: 0.6009 | Time: 19.83 | Test Dice: 0.7359 
Epoch 009 || Loss: 0.5957 | Time: 20.00 | Test Dice: 0.6737 
Epoch 010 || Loss: 0.5910 | Time: 19.77 | Test Dice: 0.5956 
Epoch 011 || Loss: 0.5867 | Time: 19.82 | Test Dice: 0.6086 
Epoch 012 || Loss: 0.5829 | Time: 19.82 | Test Dice: 0.6132 
Epoch 013 || Loss: 0.5791 | Time: 19.82 | Test Dice: 0.6323 
Epoch 014 || Loss: 0.5757 | Time: 19.77 | Test Dice: 0.5874 
Epoch 015 || Loss: 0.5722 | Time: 19.86 | Test Dice: 0.5760 
Epoch 001 || Loss: 0.6057 | Time: 20.55 | Test Dice: 0.0000 
Epoch 002 || Loss: 0.5859 | Time: 19.47 | Test Dice: 0.0000 
Epoch 003 || Loss: 0.5739 | Time: 19.56 | Test Dice: 0.0000 
Epoch 004 || Loss: 0.5643 | Time: 19.70 | Test Dice: 0.0000 
Epoch 005 || Loss: 0.5553 | Time: 19.72 | Test Dice: 0.0005 
Epoch 001 || Loss: 0.8835 | Time: 20.28 | Test Dice: 0.0651 
Epoch 001 || Loss: 0.8847 | Time: 15.38 | Test Dice: 0.0077 
Epoch 001 || Loss: 0.6440 | Time: 39.35 | Test Dice: 0.0000 
Epoch 001 || Loss: 0.7116 | Time: 42.54 | Test Dice: 0.0432 
Epoch 001 || Loss: 0.5289 | Time: 42.97 | Test Dice: 0.0000 
Epoch 002 || Loss: 0.5058 | Time: 42.88 | Test Dice: 0.0000 
Epoch 003 || Loss: 0.4930 | Time: 43.00 | Test Dice: 0.0000 
Epoch 004 || Loss: 0.4802 | Time: 42.52 | Test Dice: 0.0000 
Epoch 005 || Loss: 0.4725 | Time: 42.86 | Test Dice: 0.0000 
Epoch 006 || Loss: 0.4665 | Time: 42.81 | Test Dice: 0.0000 
Epoch 007 || Loss: 0.4618 | Time: 42.88 | Test Dice: 0.0002 
Epoch 008 || Loss: 0.4575 | Time: 43.32 | Test Dice: 0.0007 
Epoch 009 || Loss: 0.4520 | Time: 43.26 | Test Dice: 0.0007 
Epoch 010 || Loss: 0.4455 | Time: 43.10 | Test Dice: 0.0024 
Epoch 011 || Loss: 0.4403 | Time: 43.29 | Test Dice: 0.0191 
Epoch 012 || Loss: 0.4368 | Time: 43.05 | Test Dice: 0.0624 
Epoch 013 || Loss: 0.4328 | Time: 43.11 | Test Dice: 0.1955 
Epoch 014 || Loss: 0.4302 | Time: 42.98 | Test Dice: 0.3594 
Epoch 015 || Loss: 0.4273 | Time: 42.90 | Test Dice: 0.4214 
Epoch 001 || Loss: 0.9506 | Time: 42.94 | Test Dice: 0.0432 
Epoch 001 || Loss: 0.7574 | Time: 40.16 | Test Dice: 0.0432 
Epoch 002 || Loss: 0.7193 | Time: 38.96 | Test Dice: 0.0432 
Epoch 003 || Loss: 0.6980 | Time: 38.88 | Test Dice: 0.1193 
Epoch 004 || Loss: 0.6831 | Time: 39.66 | Test Dice: 0.2005 
Epoch 005 || Loss: 0.6710 | Time: 39.37 | Test Dice: 0.2657 
Epoch 006 || Loss: 0.6610 | Time: 39.05 | Test Dice: 0.2953 
Epoch 007 || Loss: 0.6524 | Time: 39.05 | Test Dice: 0.2395 
Epoch 008 || Loss: 0.6427 | Time: 38.90 | Test Dice: 0.1795 
Epoch 009 || Loss: 0.6334 | Time: 38.96 | Test Dice: 0.1499 
Epoch 010 || Loss: 0.6245 | Time: 38.93 | Test Dice: 0.1335 
Epoch 011 || Loss: 0.6158 | Time: 38.95 | Test Dice: 0.1114 
Epoch 012 || Loss: 0.6071 | Time: 38.95 | Test Dice: 0.1094 
Epoch 013 || Loss: 0.5995 | Time: 39.01 | Test Dice: 0.0933 
Epoch 014 || Loss: 0.5922 | Time: 38.98 | Test Dice: 0.0861 
Epoch 015 || Loss: 0.5847 | Time: 38.97 | Test Dice: 0.0760 
Epoch 001 || Loss: 0.6342 | Time: 39.77 | Test Dice: 0.0000 
Epoch 002 || Loss: 0.6040 | Time: 38.48 | Test Dice: 0.0000 
Epoch 003 || Loss: 0.5813 | Time: 38.59 | Test Dice: 0.1105 
Epoch 004 || Loss: 0.5622 | Time: 38.83 | Test Dice: 0.1919 
Epoch 005 || Loss: 0.5450 | Time: 38.79 | Test Dice: 0.6198 
Epoch 006 || Loss: 0.5283 | Time: 38.85 | Test Dice: 0.7011 
Epoch 007 || Loss: 0.5126 | Time: 38.88 | Test Dice: 0.7026 
Epoch 008 || Loss: 0.4985 | Time: 38.85 | Test Dice: 0.6829 
Epoch 009 || Loss: 0.4849 | Time: 38.85 | Test Dice: 0.6480 
Epoch 010 || Loss: 0.4718 | Time: 38.79 | Test Dice: 0.6565 
Epoch 011 || Loss: 0.4609 | Time: 38.78 | Test Dice: 0.6441 
Epoch 012 || Loss: 0.4537 | Time: 38.84 | Test Dice: 0.7014 
Epoch 013 || Loss: 0.4488 | Time: 38.82 | Test Dice: 0.6754 
Epoch 014 || Loss: 0.4442 | Time: 38.87 | Test Dice: 0.7092 
Epoch 015 || Loss: 0.4408 | Time: 38.81 | Test Dice: 0.7281 
Epoch 001 || Loss: 0.6561 | Time: 39.83 | Test Dice: 0.0000 
Epoch 002 || Loss: 0.6307 | Time: 38.72 | Test Dice: 0.0000 
Epoch 003 || Loss: 0.6142 | Time: 38.82 | Test Dice: 0.0000 
Epoch 004 || Loss: 0.6032 | Time: 38.93 | Test Dice: 0.0695 
Epoch 005 || Loss: 0.5956 | Time: 39.92 | Test Dice: 0.6005 
Epoch 001 || Loss: 0.5382 | Time: 38.88 | Test Dice: 0.0000 
Epoch 002 || Loss: 0.5194 | Time: 38.52 | Test Dice: 0.0000 
Epoch 003 || Loss: 0.5086 | Time: 39.76 | Test Dice: 0.0000 
Epoch 004 || Loss: 0.4982 | Time: 40.03 | Test Dice: 0.0027 
Epoch 005 || Loss: 0.4889 | Time: 39.28 | Test Dice: 0.2859 
Epoch 001 || Loss: 0.4854 | Time: 38.98 | Test Dice: 0.0000 
Epoch 002 || Loss: 0.4523 | Time: 39.20 | Test Dice: 0.0000 
Epoch 003 || Loss: 0.4304 | Time: 39.45 | Test Dice: 0.0000 
Epoch 004 || Loss: 0.4133 | Time: 39.51 | Test Dice: 0.0000 
Epoch 005 || Loss: 0.3982 | Time: 39.77 | Test Dice: 0.0000 
Epoch 006 || Loss: 0.3851 | Time: 39.80 | Test Dice: 0.0019 
Epoch 007 || Loss: 0.3747 | Time: 39.59 | Test Dice: 0.0448 
Epoch 001 || Loss: 0.7886 | Time: 40.72 | Test Dice: 0.0000 
Epoch 002 || Loss: 0.7494 | Time: 39.12 | Test Dice: 0.0000 
Epoch 003 || Loss: 0.7211 | Time: 39.79 | Test Dice: 0.0000 
Epoch 004 || Loss: 0.6996 | Time: 39.90 | Test Dice: 0.0173 
Epoch 005 || Loss: 0.6938 | Time: 39.73 | Test Dice: 0.1774 
Epoch 006 || Loss: 0.6909 | Time: 39.76 | Test Dice: 0.4812 
Epoch 007 || Loss: 0.6723 | Time: 39.80 | Test Dice: 0.5307 
Epoch 008 || Loss: 0.6145 | Time: 38.92 | Test Dice: 0.5167 
Epoch 009 || Loss: 0.5489 | Time: 39.46 | Test Dice: 0.5253 
Epoch 010 || Loss: 0.5225 | Time: 39.93 | Test Dice: 0.5288 
Epoch 011 || Loss: 0.5060 | Time: 40.24 | Test Dice: 0.5433 
Epoch 012 || Loss: 0.4964 | Time: 39.79 | Test Dice: 0.5552 
Epoch 013 || Loss: 0.4828 | Time: 39.95 | Test Dice: 0.5810 
Epoch 014 || Loss: 0.4882 | Time: 39.98 | Test Dice: 0.6191 
Epoch 015 || Loss: 0.4731 | Time: 40.58 | Test Dice: 0.6329 
Epoch 001 || Loss: 0.5244 | Time: 40.34 | Test Dice: 0.0000 
Epoch 002 || Loss: 0.4966 | Time: 39.94 | Test Dice: 0.0000 
Epoch 003 || Loss: 0.4797 | Time: 40.32 | Test Dice: 0.0000 
Epoch 004 || Loss: 0.4686 | Time: 40.48 | Test Dice: 0.0000 
Epoch 005 || Loss: 0.4598 | Time: 40.43 | Test Dice: 0.1443 
Epoch 006 || Loss: 0.4503 | Time: 40.24 | Test Dice: 0.7154 
Epoch 007 || Loss: 0.4388 | Time: 40.41 | Test Dice: 0.7322 
Epoch 008 || Loss: 0.4291 | Time: 40.62 | Test Dice: 0.7073 
Epoch 009 || Loss: 0.4221 | Time: 40.41 | Test Dice: 0.7176 
Epoch 010 || Loss: 0.4159 | Time: 40.27 | Test Dice: 0.7077 
Epoch 011 || Loss: 0.4101 | Time: 39.97 | Test Dice: 0.6950 
Epoch 012 || Loss: 0.4025 | Time: 39.22 | Test Dice: 0.6777 
Epoch 013 || Loss: 0.3964 | Time: 39.22 | Test Dice: 0.6919 
Epoch 014 || Loss: 0.3902 | Time: 39.13 | Test Dice: 0.6942 
Epoch 015 || Loss: 0.3838 | Time: 39.16 | Test Dice: 0.7135 
Epoch 001 || Loss: 0.7299 | Time: 38.72 | Test Dice: 0.0432 
Epoch 002 || Loss: 0.6743 | Time: 38.19 | Test Dice: 0.0432 
Epoch 003 || Loss: 0.6470 | Time: 38.42 | Test Dice: 0.0836 
Epoch 004 || Loss: 0.6256 | Time: 38.49 | Test Dice: 0.1803 
Epoch 005 || Loss: 0.6088 | Time: 38.66 | Test Dice: 0.1087 
Epoch 006 || Loss: 0.5940 | Time: 38.66 | Test Dice: 0.1266 
Epoch 007 || Loss: 0.5795 | Time: 38.67 | Test Dice: 0.1418 
Epoch 008 || Loss: 0.5679 | Time: 38.78 | Test Dice: 0.1448 
Epoch 009 || Loss: 0.5579 | Time: 38.94 | Test Dice: 0.1379 
Epoch 010 || Loss: 0.5502 | Time: 38.93 | Test Dice: 0.1178 
Epoch 011 || Loss: 0.5438 | Time: 39.08 | Test Dice: 0.1111 
Epoch 012 || Loss: 0.5387 | Time: 39.72 | Test Dice: 0.1103 
Epoch 013 || Loss: 0.5343 | Time: 39.81 | Test Dice: 0.1267 
Epoch 014 || Loss: 0.5306 | Time: 39.85 | Test Dice: 0.1081 
Epoch 015 || Loss: 0.5276 | Time: 39.81 | Test Dice: 0.1103 
Epoch 001 || Loss: 0.8119 | Time: 43.82 | Test Dice: 0.0432 
Epoch 002 || Loss: 0.7941 | Time: 43.50 | Test Dice: 0.0432 
Epoch 003 || Loss: 0.7823 | Time: 43.57 | Test Dice: 0.0432 
Epoch 004 || Loss: 0.7725 | Time: 43.80 | Test Dice: 0.0402 
Epoch 005 || Loss: 0.7643 | Time: 43.97 | Test Dice: 0.0213 
Epoch 006 || Loss: 0.7569 | Time: 43.86 | Test Dice: 0.0218 
Epoch 007 || Loss: 0.7500 | Time: 43.83 | Test Dice: 0.0234 
Epoch 008 || Loss: 0.7436 | Time: 43.86 | Test Dice: 0.0214 
Epoch 009 || Loss: 0.7380 | Time: 42.22 | Test Dice: 0.0201 
Epoch 010 || Loss: 0.7332 | Time: 42.02 | Test Dice: 0.0206 
Epoch 011 || Loss: 0.7290 | Time: 42.11 | Test Dice: 0.0178 
